Place,Player,Alias,Character(s),Event Name,Year,Game Played
7th,Chung-gon Lee,Poongko,Seth,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
1st,Unknown,MAO,Vega,EVO 2012[],2012,Super Street Fighter II Turbo
2nd,Unknown,Kusumondo,E. Honda,EVO 2012[],2012,Super Street Fighter II Turbo
3rd,Jason Nguyen,AfroLegends,Dee Jay/Balrog,EVO 2012[],2012,Super Street Fighter II Turbo
4th,Daigo Umehara,Daigo Umehara,Balrog,EVO 2012[],2012,Super Street Fighter II Turbo
5th,Hajime Taniguchi,Tokido,Vega,EVO 2012[],2012,Super Street Fighter II Turbo
5th,Damien Dailidenas,Damdai,O. Ryu/O. T. Hawk/O. Ken,EVO 2012[],2012,Super Street Fighter II Turbo
7th,Unknown,marsgatti,Guile,EVO 2012[],2012,Super Street Fighter II Turbo
7th,Unknown,RizOne,M. Bison,EVO 2012[],2012,Super Street Fighter II Turbo
1st,Kun Xian Ho,Xian,Gen,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
2nd,Hajime Taniguchi,Tokido,Akuma,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
3rd,Seon-woo Lee,Infiltration,Akuma/Hakan,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
4th,Eduardo Perez,PR Balrog,Balrog/Fei Long,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
5th,Naoto Sako,sako,Evil Ryu/Ibuki,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
5th,Tatsuya Haitani,Haitani,Makoto/Rufus,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
7th,Daigo Umehara,Daigo Umehara,Ryu,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
7th,Bruce Hsiang,GamerBee,Adon,EVO 2013[],2013,Super Street Fighter IV: Arcade Edition
1st,Olivier Hay,Luffy,Rose,EVO 2014[],2014,Ultra Street Fighter IV
2nd,Masato Takahashi,Bonchan,Sagat,EVO 2014[],2014,Ultra Street Fighter IV
3rd,Keita Ai,Fuudo,Fei Long,EVO 2014[],2014,Ultra Street Fighter IV
4th,Darryl Lewis,Snake Eyez,Zangief,EVO 2014[],2014,Ultra Street Fighter IV
5th,Ghim Kee Eng,Gackt,Fei Long,EVO 2014[],2014,Ultra Street Fighter IV
5th,Ricky Ortiz,Ricky Ortiz,Rufus/Rolento,EVO 2014[],2014,Ultra Street Fighter IV
7th,Yusuke Momochi,Momochi,Ken/Juri,EVO 2014[],2014,Ultra Street Fighter IV
7th,Naoto Sako,sako,Elena/Evil Ryu/Gen/Ibuki,EVO 2014[],2014,Ultra Street Fighter IV
1st,Unknown,MAO,Vega,EVO 2014[],2014,Super Street Fighter II Turbo
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2014[],2014,Super Street Fighter II Turbo
3rd,Unknown,Kurahashi,O. Ken/Ryu,EVO 2014[],2014,Super Street Fighter II Turbo
4th,Unknown,Mattsun,Ken,EVO 2014[],2014,Super Street Fighter II Turbo
5th,Unknown,Noguchi,Vega/O. Sagat,EVO 2014[],2014,Super Street Fighter II Turbo
5th,Jason Nguyen,AfroLegends,Balrog/Dee Jay,EVO 2014[],2014,Super Street Fighter II Turbo
7th,Unknown,Hanashi,Fei Long/Dee Jay/E. Honda,EVO 2014[],2014,Super Street Fighter II Turbo
7th,Alex Valle,Alex Valle,O. Sagat,EVO 2014[],2014,Super Street Fighter II Turbo
1st,Yusuke Momochi,Momochi,Ken/Evil Ryu/Elena,EVO 2015[],2015,Ultra Street Fighter IV
2nd,Bruce Yu-lin Hsiang,GamerBee,Adon/Elena,EVO 2015[],2015,Ultra Street Fighter IV
3rd,Seon-wu Lee,Infiltration,Evil Ryu/Elena/Chun-Li/Decapre/Abel/Juri/Akuma/Ryu,EVO 2015[],2015,Ultra Street Fighter IV
4th,Naoki Nemoto,Nemo,Rolento,EVO 2015[],2015,Ultra Street Fighter IV
5th,Tomoya Nomura,AiAi,Juri,EVO 2015[],2015,Ultra Street Fighter IV
5th,Hajime Taniguchi,Tokido,Akuma,EVO 2015[],2015,Ultra Street Fighter IV
7th,Eduardo Pérez-Frangie,PR Balrog/Balrog,EVO 2015[],2015,Ultra Street Fighter IV
7th,Du Dang,NuckleDu,Guile/Decapre,EVO 2015[],2015,Ultra Street Fighter IV
1st,Shinya Onuki,Nuki,Chun-Li,EVO 2015[],2015,Super Street Fighter II Turbo
2nd,ElTrouble,ElTrouble,Dhalsim/Ken,EVO 2015[],2015,Super Street Fighter II Turbo
3rd,UltraCombo,UltraCombo,O. Sagat/Vega,EVO 2015[],2015,Super Street Fighter II Turbo
4th,Damien Dailidenas,Damdai,O. Ryu,EVO 2015[],2015,Super Street Fighter II Turbo
5th,DigitalInfamy,DigitalInfamy,Ryu/Balrog,EVO 2015[],2015,Super Street Fighter II Turbo
5th,Fromo,Fromo,Blanka,EVO 2015[],2015,Super Street Fighter II Turbo
7th,,Baby Nine,E. Honda,EVO 2015[],2015,Super Street Fighter II Turbo
7th,,Bab Munn3y,Balrog,EVO 2015[],2015,Super Street Fighter II Turbo
1st,Seon-wu Lee,Infiltration,Nash,EVO 2016[],2016,Street Fighter V
2nd,Keita Ai,Fuudo,R. Mika,EVO 2016[],2016,Street Fighter V
3rd,Atsushi Fujimura,Yukadon,Nash,EVO 2016[],2016,Street Fighter V
4th,Goichi Kishida,GO1,Chun-Li,EVO 2016[],2016,Street Fighter V
5th,Joe Ciaramelli,LI Joe,Nash,EVO 2016[],2016,Street Fighter V
5th,Joe Egami,MOV,Chun-Li,EVO 2016[],2016,Street Fighter V
7th,Hiroyuki Nagata,Eita,Ken,EVO 2016[],2016,Street Fighter V
